"OriginalValue" "OriginalMeaning" "RecodedValue" "RecodedMeaning"
"-3" "Prefer not to answer" "NA" "NA"
"-7" "None of the above" "3" "Low"
"1" "College or University degree" "1" "High"
"2" "A levels/AS levels or equivalent" "2" "Intermediate"
"3" "O levels/GCSEs or equivalent" "2" "Intermediate"
"4" "CSEs or equivalent" "2" "Intermediate"
"5" "NVQ or HND or HNC or equivalent" "2" "Intermediate"
"6" "Other professional qualifications eg: nursing, teaching" "2" "Intermediate"
